"Response number","Vote for the student council party"
626,"- Not endorse (ไม่รับรอง)"
627,"- Endorse (รับรอง)"
628,"- Endorse (รับรอง)"
629,"- No vote (ไม่ประสงค์ลงคะเเนน)"
630,"- Endorse (รับรอง)"
631,"- Endorse (รับรอง)"
632,"- Endorse (รับรอง)"
633,"- Endorse (รับรอง)"
634,"- No vote (ไม่ประสงค์ลงคะเเนน)"
635,"- Endorse (รับรอง)"
636,"- No vote (ไม่ประสงค์ลงคะเเนน)"
637,"- No vote (ไม่ประสงค์ลงคะเเนน)"
638,"- Endorse (รับรอง)"
639,"- Endorse (รับรอง)"
640,"- No vote (ไม่ประสงค์ลงคะเเนน)"
641,"- Endorse (รับรอง)"
642,"- Not endorse (ไม่รับรอง)"
643,"- Endorse (รับรอง)"
644,"- Endorse (รับรอง)"
645,"- Endorse (รับรอง)"
646,"- No vote (ไม่ประสงค์ลงคะเเนน)"
647,"- Endorse (รับรอง)"
648,"- No vote (ไม่ประสงค์ลงคะเเนน)"
649,"- Endorse (รับรอง)"
650,"- No vote (ไม่ประสงค์ลงคะเเนน)"
651,"- Endorse (รับรอง)"
652,"- No vote (ไม่ประสงค์ลงคะเเนน)"
653,"- Endorse (รับรอง)"
654,"- Endorse (รับรอง)"
655,"- Endorse (รับรอง)"
656,"- No vote (ไม่ประสงค์ลงคะเเนน)"
657,"- Endorse (รับรอง)"
658,"- Endorse (รับรอง)"
659,"- Endorse (รับรอง)"
660,"- Endorse (รับรอง)"
661,"- Endorse (รับรอง)"
662,"- No vote (ไม่ประสงค์ลงคะเเนน)"
663,"- Endorse (รับรอง)"
664,"- Endorse (รับรอง)"
665,"- Endorse (รับรอง)"
666,"- No vote (ไม่ประสงค์ลงคะเเนน)"
667,"- Endorse (รับรอง)"
668,"- Endorse (รับรอง)"
669,"- Endorse (รับรอง)"
670,"- Not endorse (ไม่รับรอง)"
671,"- Endorse (รับรอง)"
672,"- No vote (ไม่ประสงค์ลงคะเเนน)"
673,"- Endorse (รับรอง)"
674,"- Not endorse (ไม่รับรอง)"
675,"- No vote (ไม่ประสงค์ลงคะเเนน)"
676,"- Endorse (รับรอง)"
